sample_name	library_ID	title	Animal ID	Sex	Treatment	Region
ZF_MV_1	E17	"RNA-Seq of Taeniopygia guttata: PHD30 male RA, vehicle treatment: ID_O4"	O4	M	Veh	RA
ZF_MV_1	G11	"RNA-Seq of Taeniopygia guttata: PHD30 male LAi, vehicle treatment: ID_O4"	O4	M	Veh	LAi
ZF_MV_1	C12	"RNA-Seq of Taeniopygia guttata: PHD30 male HVC, vehicle treatment: ID_O4"	O4	M	Veh	HVC
ZF_MV_1	A4	"RNA-Seq of Taeniopygia guttata: PHD30 male Shelf, vehicle treatment: ID_O4"	O4	M	Veh	Shelf
ZF_MV_1	H0	"RNA-Seq of Taeniopygia guttata: PHD30 male LMAN, vehicle treatment: ID_O4"	O4	M	Veh	LMAN
ZF_MV_1	C5	"RNA-Seq of Taeniopygia guttata: PHD30 male Nido, vehicle treatment: ID_O4"	O4	M	Veh	L.Nido
ZF_MV_1	E2	"RNA-Seq of Taeniopygia guttata: PHD30 male AreaX, vehicle treatment: ID_O4"	O4	M	Veh	AreaX
ZF_MV_1	G7	"RNA-Seq of Taeniopygia guttata: PHD30 male MSt, vehicle treatment: ID_O4"	O4	M	Veh	MSt
ZF_MV_2	E8	"RNA-Seq of Taeniopygia guttata: PHD30 male RA, vehicle treatment: ID_J1"	J1	M	Veh	RA
ZF_MV_2	G13	"RNA-Seq of Taeniopygia guttata: PHD30 male LAi, vehicle treatment: ID_J1"	J1	M	Veh	LAi
ZF_MV_2	A9	"RNA-Seq of Taeniopygia guttata: PHD30 male HVC, vehicle treatment: ID_J1"	J1	M	Veh	HVC
ZF_MV_2	A13	"RNA-Seq of Taeniopygia guttata: PHD30 male Shelf, vehicle treatment: ID_J1"	J1	M	Veh	Shelf
ZF_MV_2	A1	"RNA-Seq of Taeniopygia guttata: PHD30 male LMAN, vehicle treatment: ID_J1"	J1	M	Veh	LMAN
ZF_MV_2	C3	"RNA-Seq of Taeniopygia guttata: PHD30 male Nido, vehicle treatment: ID_J1"	J1	M	Veh	L.Nido
ZF_MV_2	E15	"RNA-Seq of Taeniopygia guttata: PHD30 male AreaX, vehicle treatment: ID_J1"	J1	M	Veh	AreaX
ZF_MV_2	G6	"RNA-Seq of Taeniopygia guttata: PHD30 male MSt, vehicle treatment: ID_J1"	J1	M	Veh	MSt
ZF_MV_3	H3	"RNA-Seq of Taeniopygia guttata: PHD30 male RA, vehicle treatment: ID_G1"	G1	M	Veh	RA
ZF_MV_3	B2	"RNA-Seq of Taeniopygia guttata: PHD30 male LAi, vehicle treatment: ID_G1"	G1	M	Veh	LAi
